State,City,Borough,Zipcode,Latitude,Longitude,Location,num_calls
NY,STATEN ISLAND,STATEN ISLAND,10308.0,40.54409609,-74.14115469,Club/Bar/Restaurant,0
NY,NEW YORK,MANHATTAN,10012.0,40.72979348,-73.99884181,Club/Bar/Restaurant,18
NY,STATEN ISLAND,STATEN ISLAND,10308.0,40.54420877,-74.14103979,Club/Bar/Restaurant,21
NY,New York,MANHATTAN,10034.0,40.86637626,-73.92825812,Club/Bar/Restaurant,160
NY,,BROOKLYN,11220.0,40.63520686,-74.02028461,Club/Bar/Restaurant,17
NY,NEW YORK,MANHATTAN,10029.0,40.79186116,-73.94539159,Club/Bar/Restaurant,211
NY,NEW YORK,MANHATTAN,10002.0,40.71879472,-73.98901165,Club/Bar/Restaurant,41
NY,NY,MANHATTAN,10034.0,40.86954934,-73.91634837,Club/Bar/Restaurant,271
NY,ELMHURST,QUEENS,11373.0,40.73924884,-73.88445696,Club/Bar/Restaurant,15
NY,NEW YORK,MANHATTAN,10013.0,40.72278878,-74.00459619,Club/Bar/Restaurant,43
NY,NEW YORK,MANHATTAN,10003.0,40.72581057,-73.99199058,Club/Bar/Restaurant,42
NY,SOUTH RICHMOND HILL,QUEENS,11419.0,40.68935074,-73.81613264,Club/Bar/Restaurant,46
NY,NEW YORK,MANHATTAN,10128.0,40.77933383,-73.95066995,Club/Bar/Restaurant,16
NY,NEW YORK,MANHATTAN,10009.0,40.72349367,-73.98825325,Club/Bar/Restaurant,1175
NY,BRONX,BRONX,10464.0,40.83767128,-73.78290106,Club/Bar/Restaurant,11
NY,NEW YORK,MANHATTAN,10009.0,40.72320273,-73.98827856,Club/Bar/Restaurant,24
NY,NEW YORK,MANHATTAN,10040.0,40.86437703,-73.92653575,Club/Bar/Restaurant,458
NY,,BROOKLYN,11235.0,40.58413031,-73.93277355,Club/Bar/Restaurant,58
NY,,BROOKLYN,11223.0,40.59013616,-73.97389624,Club/Bar/Restaurant,38
NY,,BROOKLYN,11218.0,40.64269519,-73.96977506,Club/Bar/Restaurant,128
NY,,BROOKLYN,11203.0,40.6368429,-73.93075319,Club/Bar/Restaurant,28
NY,,BROOKLYN,11234.0,40.58488412,-73.92664159,Club/Bar/Restaurant,45
NY,NEW YORK,MANHATTAN,10011.0,40.74252091,-74.00051966,Club/Bar/Restaurant,23
NY,JACKSON HEIGHTS,QUEENS,11372.0,40.74736716,-73.88655054,Club/Bar/Restaurant,42
NY,STATEN ISLAND,STATEN ISLAND,10307.0,40.51478878,-74.24842226,Club/Bar/Restaurant,72
NY,STATEN ISLAND,STATEN ISLAND,10305.0,40.59034214,-74.06662421,Club/Bar/Restaurant,42
NY,,BROOKLYN,11211.0,40.7137782,-73.95746753,Club/Bar/Restaurant,42
NY,NEW YORK,MANHATTAN,10033.0,40.84711145,-73.93818244,Club/Bar/Restaurant,127
NY,NEW YORK,MANHATTAN,10009.0,40.72953107,-73.9804155,Club/Bar/Restaurant,NaN
NY,,BROOKLYN,11225.0,40.66196937,-73.96163481,Club/Bar/Restaurant,16
NY,NEW YORK,MANHATTAN,10036.0,40.76081394,-73.98718902,Club/Bar/Restaurant,19
NY,,BROOKLYN,11207.0,40.66919734,-73.89645248,Club/Bar/Restaurant,24
NY,ROSEDALE,QUEENS,11422.0,40.66479938,-73.73491026,Club/Bar/Restaurant,39
NY,BRONX,BRONX,10464.0,40.85114171,-73.78846705,Club/Bar/Restaurant,57
NY,,BROOKLYN,11237.0,40.70383481,-73.93097214,Club/Bar/Restaurant,43
NY,NEW YORK,MANHATTAN,10036.0,40.7612619,-73.9942713,Club/Bar/Restaurant,43
NY,ASTORIA,QUEENS,11103.0,40.76373637,-73.91464744,Club/Bar/Restaurant,31
NY,BRONX,BRONX,10453.0,40.85706015,-73.90468411,Club/Bar/Restaurant,23
NY,BRONX,BRONX,10469.0,40.87575492,-73.85086586,Club/Bar/Restaurant,21
NY,,BROOKLYN,11230.0,40.61336789,-73.96302421,Club/Bar/Restaurant,63
NY,LITTLE NECK,QUEENS,11362.0,40.77090216,-73.7352894,Club/Bar/Restaurant,85
NY,,BROOKLYN,11231.0,40.67775273,-73.99811085,Club/Bar/Restaurant,30
NY,JAMAICA,QUEENS,11434.0,40.68187917,-73.7660803,Club/Bar/Restaurant,NaN
NY,,BROOKLYN,11238.0,40.68272042,-73.96329223,Club/Bar/Restaurant,231
NY,RICHMOND HILL,QUEENS,11418.0,40.69957784,-73.83235864,Club/Bar/Restaurant,79
NY,,BROOKLYN,11214.0,40.5995808,-73.98996033,Club/Bar/Restaurant,62
NY,NEW YORK,MANHATTAN,10016.0,40.7475205,-73.9824024,Club/Bar/Restaurant,40
NY,,BROOKLYN,11218.0,40.63559076,-73.97774084,Club/Bar/Restaurant,37
NY,JAMAICA,QUEENS,11435.0,40.69822499,-73.80633492,Club/Bar/Restaurant,106
NY,,BROOKLYN,11221.0,40.69489819,-73.93155477,Club/Bar/Restaurant,14
NY,NEW YORK,MANHATTAN,10013.0,40.72271742,-74.00444827,Club/Bar/Restaurant,14
NY,NEW YORK,MANHATTAN,10016.0,40.74860668,-73.97810369,Club/Bar/Restaurant,70
NY,NEW YORK,MANHATTAN,10034.0,40.86210781,-73.91928608,Club/Bar/Restaurant,29
NY,,BROOKLYN,11216.0,40.6716626,-73.95091902,Club/Bar/Restaurant,42
NY,,BROOKLYN,11238.0,40.68142275,-73.95710239,Club/Bar/Restaurant,302
NY,STATEN ISLAND,STATEN ISLAND,10304.0,40.62863721,-74.08003528,Club/Bar/Restaurant,90
NY,NEW YORK,MANHATTAN,10034.0,40.86813967,-73.93041833,Club/Bar/Restaurant,14
NY,,BROOKLYN,11234.0,40.61655033,-73.93020153,Club/Bar/Restaurant,89
NY,,BROOKLYN,11208.0,40.68642817,-73.86869412,Club/Bar/Restaurant,18
NY,NEW YORK,MANHATTAN,10019.0,40.76449114,-73.98165065,Club/Bar/Restaurant,44
NY,,BROOKLYN,11205.0,40.69403903,-73.96078695,Club/Bar/Restaurant,40
NY,NEW YORK,MANHATTAN,10003.0,40.73250431,-73.9848383,Club/Bar/Restaurant,80
NY,NEW YORK,MANHATTAN,10027.0,40.81986557,-73.95852336,Club/Bar/Restaurant,118
NY,NEW YORK,MANHATTAN,10014.0,40.73249706,-74.00183297,Club/Bar/Restaurant,217
NY,BRONX,BRONX,10475.0,40.88228797,-73.82769936,Club/Bar/Restaurant,10
NY,NEW YORK,MANHATTAN,10017.0,40.75524246,-73.97327568,Club/Bar/Restaurant,16
NY,,BROOKLYN,11215.0,40.65972716,-73.98791847,Club/Bar/Restaurant,93
NY,FAR ROCKAWAY,QUEENS,11693.0,40.58485012,-73.81903413,Club/Bar/Restaurant,106
NY,,BROOKLYN,11207.0,40.69161916,-73.90573918,Club/Bar/Restaurant,117
NY,NEW YORK,MANHATTAN,10036.0,40.76035852,-73.98928635,Club/Bar/Restaurant,42
NY,,BROOKLYN,11211.0,40.71696661,-73.95482851,Club/Bar/Restaurant,36
NY,NEW YORK,MANHATTAN,10002.0,40.72306557,-73.98907949,Club/Bar/Restaurant,98
NY,NEW YORK,MANHATTAN,10029.0,40.79585513,-73.93552852,Club/Bar/Restaurant,148
NY,NEW YORK,MANHATTAN,10013.0,40.71957476,-73.99950577,Club/Bar/Restaurant,10
NY,,BROOKLYN,11209.0,40.62084753,-74.02677137,Club/Bar/Restaurant,25
NY,NEW YORK,MANHATTAN,10009.0,40.72483716,-73.97832075,Club/Bar/Restaurant,127
NY,BRONX,BRONX,10456.0,40.8384769,-73.91310235,Club/Bar/Restaurant,65
NY,ASTORIA,QUEENS,11106.0,40.75618226,-73.93008771,Club/Bar/Restaurant,18
NY,,BROOKLYN,11222.0,40.72979695,-73.95838458,Club/Bar/Restaurant,93
NY,,BROOKLYN,11209.0,40.62075694,-74.02683617,Club/Bar/Restaurant,143
NY,ASTORIA,QUEENS,11106.0,40.76331469,-73.92819586,Club/Bar/Restaurant,267
NY,,BROOKLYN,11249.0,40.71795041,-73.95792662,Club/Bar/Restaurant,64
NY,,BROOKLYN,11249.0,40.7111325,-73.96654457,Club/Bar/Restaurant,70
NY,WOODSIDE,QUEENS,11377.0,40.75256615,-73.90524869,Club/Bar/Restaurant,45
NY,NEW YORK,MANHATTAN,10011.0,40.74294904,-73.99646701,Club/Bar/Restaurant,85
NY,NEW YORK,MANHATTAN,10003.0,40.73234787,-73.98493936,Club/Bar/Restaurant,41
NY,NEW YORK,MANHATTAN,10013.0,40.71992609,-74.0002886,Club/Bar/Restaurant,55
NY,SOUTH OZONE PARK,QUEENS,11420.0,40.67596498,-73.81819204,Club/Bar/Restaurant,95
NY,,BROOKLYN,11218.0,40.63597511,-73.97814065,Club/Bar/Restaurant,183
NY,EAST ELMHURST,QUEENS,11369.0,40.76349768,-73.87813729,Club/Bar/Restaurant,59
NY,,BROOKLYN,11211.0,40.71175719,-73.94278797,Club/Bar/Restaurant,27
NY,NEW YORK,MANHATTAN,10010.0,40.74091496,-73.99208259,Club/Bar/Restaurant,40
NY,NEW YORK,MANHATTAN,10018.0,40.75007365,-73.98636819,Club/Bar/Restaurant,30
NY,NEW YORK,MANHATTAN,10028.0,40.77756088,-73.95102149,Club/Bar/Restaurant,22
NY,NEW YORK,MANHATTAN,10002.0,40.72114459,-73.99370114,Club/Bar/Restaurant,87
